timestamp,sensor_id,temperature,humidity,co2_ppm,battery_level
2024-05-01T00:00:00Z,BATHROOM_01,19.54,68.62,,60.9995
2024-05-01T00:00:00Z,BEDROOM_01,17.03,60.62,,44.9996
2024-05-01T00:00:00Z,KITCHEN_01,19.03,56.07,426.0,85.1995
2024-05-01T00:00:00Z,LIVING_ROOM_01,19.56,52.46,418.9,98.4995
2024-05-01T00:00:00Z,OFFICE_01,20.02,47.6,415.6,71.95
2024-05-01T00:00:00Z,OFFICE_01,20.05,47.91,422.4,71.2
2024-05-01T00:01:00Z,BATHROOM_01,19.61,68.12,,60.999
2024-05-01T00:01:00Z,BEDROOM_01,16.92,60.54,,44.9992
2024-05-01T00:01:00Z,KITCHEN_01,19.05,55.34,433.9,85.199
2024-05-01T00:01:00Z,LIVING_ROOM_01,19.63,52.39,405.0,98.499
2024-05-01T00:01:00Z,OFFICE_01,20.07,47.42,417.7,71.9
2024-05-01T00:02:00Z,BATHROOM_01,19.73,68.37,,60.9985
2024-05-01T00:02:00Z,BEDROOM_01,16.92,60.83,,44.9988
2024-05-01T00:02:00Z,KITCHEN_01,19.27,55.86,426.5,85.1985
2024-05-01T00:02:00Z,LIVING_ROOM_01,19.6,52.37,417.8,98.4985
2024-05-01T00:02:00Z,OFFICE_01,20.05,47.72,432.9,71.85
2024-05-01T00:03:00Z,BATHROOM_01,19.75,67.54,,60.998
2024-05-01T00:03:00Z,BEDROOM_01,17.36,59.56,,44.9984
2024-05-01T00:03:00Z,KITCHEN_01,19.19,55.58,413.7,85.198
2024-05-01T00:03:00Z,LIVING_ROOM_01,19.58,52.6,431.6,98.498
2024-05-01T00:03:00Z,OFFICE_01,20.05,48.05,429.7,71.8
2024-05-01T00:04:00Z,BATHROOM_01,19.77,68.67,,60.9975
2024-05-01T00:04:00Z,BEDROOM_01,17.07,61.13,,44.998
2024-05-01T00:04:00Z,KITCHEN_01,19.13,56.49,427.0,85.1975
